order_number,quantity,price_per,order_line_num,sales,order_date,product_name,msrp,cust_name,address1,address2,city,state,zip_code,country,territory
10029,37,100,11,7374.1,7/24/2003,Classic Cars,214,Technics Stores Inc.,9408 Furth Circle,,Burlingame,CA,94217,USA,NA
10030,45,100,8,10993.5,9/19/2003,Classic Cars,214,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan
10031,21,100,1,4860.24,10/20/2003,Classic Cars,214,Classic Legends Inc.,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA
10032,34,100,4,8014.82,11/6/2003,Classic Cars,214,"Australian Gift Network, Co",31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC
10033,23,100,8,5372.57,11/13/2003,Classic Cars,214,"Classic Gift Ideas, Inc",782 First Street,,Philadelphia,PA,71270,USA,NA
10034,42,100,11,7290.36,11/25/2003,Classic Cars,214,"Saveley & Henriot, Co.","2, rue du Commerce",,Lyon,,69004,France,EMEA
10035,47,100,6,9064.89,12/5/2003,Classic Cars,214,Canadian Gift Exchange Network,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA
10036,35,100,3,6075.3,1/29/2004,Classic Cars,214,West Coast Collectables Co.,3675 Furth Circle,,Burbank,CA,94019,USA,NA
10037,29,100,2,6463.23,3/10/2004,Classic Cars,214,Cambridge Collectables Co.,4658 Baden Av.,,Cambridge,MA,51247,USA,NA
10038,34,100,9,6120.34,5/4/2004,Classic Cars,214,Super Scale Inc.,567 North Pendale Street,,New Haven,CT,97823,USA,NA
10039,32,100,6,7680.64,6/15/2004,Classic Cars,214,"Tokyo Collectables, Ltd",2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan
10040,21,100,9,4905.39,7/19/2004,Classic Cars,214,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC
10041,34,100,2,8014.82,8/17/2004,Classic Cars,214,Amica Models & Co.,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA
10042,37,100,11,7136.19,9/8/2004,Classic Cars,214,Scandinavian Gift Ideas,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA
10043,47,100,6,10172.7,10/11/2004,Classic Cars,214,Auto Assoc. & Cie.,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA
10044,null,100,3,11623.7,10/21/2004,Classic Cars,214,Mini Gifts Distributors Ltd.,5677 Strong St.,,San Rafael,CA,97562,USA,NA
10045,40,100,1,6000.4,11/4/2004,Classic Cars,214,Online Diecast Creations Co.,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA
10046,26,100,3,3003,11/18/2004,Classic Cars,214,Mini Wheels Co.,5557 North Pendale Street,,San Francisco,CA,,USA,NA
10047,30,100,1,3944.7,11/29/2004,Classic Cars,214,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
10048,32,100,10,5691.84,12/10/2004,Classic Cars,214,Mini Gifts Distributors Ltd.,5677 Strong St.,,San Rafael,CA,97562,USA,NA
10049,41,100,2,4514.92,1/20/2005,Classic Cars,214,Collectables For Less Inc.,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA
10050,36,100,3,8254.8,2/17/2005,Classic Cars,214,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,CA,,USA,NA
10051,24,100,4,2416.56,3/9/2005,Classic Cars,214,"Anna's Decorations, Ltd",201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC
10052,23,100,9,4140.23,5/1/2005,Classic Cars,214,Quebec Home Shopping Network,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA
10053,50,100,6,12001,5/31/2005,Classic Cars,214,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
10054,39,99.91,5,3896.49,2/24/2003,Motorcycles,118,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10055,29,96.34,3,2793.86,4/29/2003,Motorcycles,118,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
10056,27,100,5,3307.77,7/1/2003,Motorcycles,118,Lyon Souveniers,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA
10057,37,100,9,5192.95,8/25/2003,Motorcycles,118,Toys4GrownUps.com,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA
10058,37,100,17,5016.83,10/10/2003,Motorcycles,118,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,CA,,USA,NA
10059,27,100,4,3660.93,10/28/2003,Motorcycles,118,Technics Stores Inc.,9408 Furth Circle,,Burlingame,CA,94217,USA,NA
10060,42,100,12,4695.6,11/11/2003,Motorcycles,118,Daedalus Designs Imports,"184, chausse de Tournai",,Lille,,59000,France,EMEA
10061,38,96.34,4,3660.92,11/18/2003,Motorcycles,118,Herkku Gifts,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA
10062,24,100,5,3025.92,12/1/2003,Motorcycles,118,Mini Wheels Co.,5557 North Pendale Street,,San Francisco,CA,,USA,NA
10063,23,100,2,3009.09,1/12/2004,Motorcycles,118,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan
10064,47,100,4,5422.39,2/20/2004,Motorcycles,118,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
10065,22,100,1,2852.08,4/3/2004,Motorcycles,118,Motor Mint Distributors Inc.,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA
10066,44,100,5,5756.52,5/18/2004,Motorcycles,118,Tekni Collectables Inc.,7476 Moss Rd.,,Newark,NJ,94019,USA,NA
10067,40,100,5,4472,6/28/2004,Motorcycles,118,Gift Depot Inc.,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA
10068,22,100,4,2904.44,7/23/2004,Motorcycles,118,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
10069,47,100,9,6484.59,8/27/2004,Motorcycles,118,Marta's Replicas Co.,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA
10070,39,96.34,1,3757.26,9/27/2004,Motorcycles,118,Atelier graphique,"54, rue Royale",,Nantes,,44000,France,EMEA
10071,34,100,2,4043.96,10/15/2004,Motorcycles,118,Mini Classics,3758 North Pendale Street,,White Plains,NY,24067,USA,NA
10072,45,100,4,5566.5,11/2/2004,Motorcycles,118,Diecast Classics Inc.,7586 Pompton St.,,Allentown,PA,70267,USA,NA
10073,20,100,2,3176,11/15/2004,Motorcycles,118,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10074,40,68.92,4,2756.8,11/23/2004,Motorcycles,118,"Tokyo Collectables, Ltd",2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan
10075,26,51.15,8,1329.9,12/17/2004,Motorcycles,118,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC
10076,39,100,5,5288.01,2/2/2005,Motorcycles,118,"Australian Gift Network, Co",31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC
10077,50,44.51,5,2225.5,3/3/2005,Motorcycles,118,FunGiftIdeas.com,1785 First Street,,New Bedford,MA,50553,USA,NA
10078,45,100,1,5833.8,4/7/2005,Motorcycles,118,Auto Canal Petit,"25, rue Lauriston",,Paris,,75016,France,EMEA
10079,45,100,5,5887.35,5/13/2005,Motorcycles,118,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
10080,27,100,4,6065.55,2/24/2003,Motorcycles,193,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10081,46,100,2,9264.86,4/29/2003,Motorcycles,193,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
10082,31,100,4,7023.98,7/1/2003,Motorcycles,193,Lyon Souveniers,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA
10083,33,100,8,5176.38,8/25/2003,Motorcycles,193,Toys4GrownUps.com,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA
10084,22,100,16,4132.7,10/10/2003,Motorcycles,193,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,CA,,USA,NA
10085,20,100,3,4183,10/28/2003,Motorcycles,193,Technics Stores Inc.,9408 Furth Circle,,Burlingame,CA,94217,USA,NA
10086,41,100,11,8892.9,11/11/2003,Motorcycles,193,Daedalus Designs Imports,"184, chausse de Tournai",,Lille,,59000,France,EMEA
10087,45,100,3,8714.7,11/18/2003,Motorcycles,193,Herkku Gifts,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA
10088,49,100,4,8065.89,12/1/2003,Motorcycles,193,Mini Wheels Co.,5557 North Pendale Street,,San Francisco,CA,,USA,NA
10089,34,100,1,6123.4,1/12/2004,Motorcycles,193,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan
10090,49,100,3,9774.03,2/20/2004,Motorcycles,193,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
10091,39,100,9,7023.9,4/5/2004,Motorcycles,193,Vitachrome Inc.,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA
10092,43,100,4,7078.23,5/18/2004,Motorcycles,193,Tekni Collectables Inc.,7476 Moss Rd.,,Newark,NJ,94019,USA,NA
10093,41,100,4,8336.94,6/28/2004,Motorcycles,193,Gift Depot Inc.,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA
10094,36,100,3,6901.92,7/23/2004,Motorcycles,193,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
10095,27,100,8,5438.07,8/27/2004,Motorcycles,193,Marta's Replicas Co.,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA
10096,29,100,11,6683.34,9/30/2004,Motorcycles,193,"Toys of Finland, Co.",Keskuskatu 45,,Helsinki,,21240,Finland,EMEA
10097,20,100,1,4570.4,10/15/2004,Motorcycles,193,Mini Classics,3758 North Pendale Street,,White Plains,NY,24067,USA,NA
10098,37,100,3,7667.14,11/2/2004,Motorcycles,193,Diecast Classics Inc.,7586 Pompton St.,,Allentown,PA,70267,USA,NA
10099,26,100,3,5868.2,11/15/2004,Motorcycles,193,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10100,39,76.67,3,2990.13,11/23/2004,Motorcycles,193,"Tokyo Collectables, Ltd",2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan
10101,22,100,4,3664.1,1/5/2005,Motorcycles,193,Technics Stores Inc.,9408 Furth Circle,,Burlingame,CA,94217,USA,NA
10102,22,100,1,3834.38,2/2/2005,Motorcycles,193,"Australian Gift Network, Co",31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC
10103,21,86.77,7,1822.17,3/3/2005,Motorcycles,193,FunGiftIdeas.com,1785 First Street,,New Bedford,MA,50553,USA,NA
10104,66,100,9,11886.6,4/8/2005,Motorcycles,193,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA
10105,56,100,4,9218.16,5/13/2005,Motorcycles,193,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
10106,50,100,2,7208,2/11/2003,Classic Cars,136,Danish Wholesale Imports,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
10107,46,100,11,5004.8,4/28/2003,Classic Cars,136,Salzburg Collectables,Geislweg 14,,Salzburg,,5020,Austria,EMEA
10108,33,100,2,4398.24,6/12/2003,Classic Cars,136,"Stylish Desk Decors, Co.",35 King George,,London,,WX3 6FW,UK,EMEA
10109,49,100,15,5597.76,8/10/2003,Classic Cars,136,Mini Creations Ltd.,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA
10110,32,100,13,4526.08,10/6/2003,Classic Cars,136,"Toys of Finland, Co.",Keskuskatu 45,,Helsinki,,21240,Finland,EMEA
10111,44,100,9,5924.16,10/23/2003,Classic Cars,136,Scandinavian Gift Ideas,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA
10112,24,100,12,3492.48,11/8/2003,Classic Cars,136,Alpha Cognac,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA
10113,26,100,9,3854.24,11/14/2003,Classic Cars,136,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA
10114,45,100,6,5324.4,11/26/2003,Classic Cars,136,Enaco Distributors,"Rambla de Catalu¤a, 23",,Barcelona,,8022,Spain,EMEA
10115,39,100,8,5197.92,1/9/2004,Classic Cars,136,"Men 'R' US Retailers, Ltd.",6047 Douglas Av.,,Los Angeles,CA,,USA,NA
10116,49,100,12,5997.6,2/19/2004,Classic Cars,136,Collectable Mini Designs Co.,361 Furth Circle,,San Diego,CA,91217,USA,NA
10117,20,100,3,2910.4,5/7/2004,Classic Cars,136,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10118,27,100,1,3378.24,6/17/2004,Classic Cars,136,Quebec Home Shopping Network,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA
10119,30,100,4,3508.8,7/21/2004,Classic Cars,136,Petit Auto,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA
10120,25,100,6,2992,8/20/2004,Classic Cars,136,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,NA
10121,24,100,1,3427.2,9/10/2004,Classic Cars,136,Gifts4AllAges.com,8616 Spinnaker Dr.,,Boston,MA,51003,USA,NA
10122,22,100,9,2692.8,10/14/2004,Classic Cars,136,"Classic Gift Ideas, Inc",782 First Street,,Philadelphia,PA,71270,USA,NA
10123,33,100,17,4128.96,11/1/2004,Classic Cars,136,giftsbymail.co.uk,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA
10124,47,64.93,6,3051.71,11/5/2004,Classic Cars,136,Baane Mini Imports,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
10125,25,48.05,8,1201.25,11/21/2004,Classic Cars,136,Classic Legends Inc.,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA
10126,26,75.47,5,1962.22,12/2/2004,Classic Cars,136,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
10127,48,54.68,6,2624.64,12/15/2004,Classic Cars,136,Reims Collectables,59 rue de l'Abbaye,,Reims,,51100,France,EMEA
10128,39,100,3,4046.25,1/31/2005,Classic Cars,136,"Oulu Toy Supplies, Inc.",Torikatu 38,,Oulu,,90110,Finland,EMEA
10129,34,100,4,4846.7,2/23/2005,Classic Cars,136,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,CA,,USA,NA
10130,32,100,2,3370.56,3/17/2005,Classic Cars,136,Lyon Souveniers,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA
10131,64,100,9,9661.44,4/1/2005,Classic Cars,136,The Sharp Gifts Warehouse,3086 Ingle Ln.,,San Jose,CA,94217,USA,NA
10132,19,100,3,2764.88,5/6/2005,Classic Cars,136,Gifts4AllAges.com,8616 Spinnaker Dr.,,Boston,MA,51003,USA,NA
10133,42,100,4,5398.26,1/29/2003,Classic Cars,147,Baane Mini Imports,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
10134,31,100,8,4305.28,4/1/2003,Classic Cars,147,"La Corne D'abondance, Co.","265, boulevard Charonne",,Paris,,75012,France,EMEA
10135,22,100,4,3347.74,5/28/2003,Classic Cars,147,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",,Madrid,,28023,Spain,EMEA
10136,26,100,4,3188.12,7/24/2003,Classic Cars,147,Technics Stores Inc.,9408 Furth Circle,,Burlingame,CA,94217,USA,NA
10137,20,100,1,3191.2,9/19/2003,Classic Cars,147,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan
10138,21,100,2,3536.82,10/21/2003,Classic Cars,147,Mini Auto Werke,Kirchgasse 6,,Graz,,8010,Austria,EMEA
10139,33,100,9,5362.83,11/6/2003,Classic Cars,147,"Stylish Desk Decors, Co.",35 King George,,London,,WX3 6FW,UK,EMEA
10140,28,100,1,3433.36,11/13/2003,Classic Cars,147,"Classic Gift Ideas, Inc",782 First Street,,Philadelphia,PA,71270,USA,NA
10141,26,100,4,4263.74,11/25/2003,Classic Cars,147,"Saveley & Henriot, Co.","2, rue du Commerce",,Lyon,,69004,France,EMEA
10142,31,100,15,4076.19,12/9/2003,Classic Cars,147,Diecast Collectables,6251 Ingle Ln.,,Boston,MA,51003,USA,NA
10143,48,100,4,7020.48,2/4/2004,Classic Cars,147,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC
10144,50,100,9,6426.5,3/11/2004,Classic Cars,147,Mini Gifts Distributors Ltd.,5677 Strong St.,,San Rafael,CA,97562,USA,NA
10145,28,100,2,4591.72,5/4/2004,Classic Cars,147,Super Scale Inc.,567 North Pendale Street,,New Haven,CT,97823,USA,NA
10146,26,100,12,4033.38,6/15/2004,Classic Cars,147,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC
10147,32,100,2,4302.08,7/19/2004,Classic Cars,147,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC
10148,44,100,9,7020.64,8/19/2004,Classic Cars,147,Diecast Classics Inc.,7586 Pompton St.,,Allentown,PA,70267,USA,NA
10149,30,100,4,3855.9,9/8/2004,Classic Cars,147,Scandinavian Gift Ideas,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA
10150,38,100,13,6680.78,10/13/2004,Classic Cars,147,Marta's Replicas Co.,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA
10151,40,100,7,6678,10/22/2004,Classic Cars,147,Canadian Gift Exchange Network,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA
10152,46,61.99,8,2851.54,11/4/2004,Classic Cars,147,Online Diecast Creations Co.,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA
10153,26,100,2,3188.12,11/19/2004,Classic Cars,147,"Volvo Model Replicas, Co",Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA
10154,27,100,2,4428,11/29/2004,Classic Cars,147,"Australian Collectors, Co.",636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
10155,43,100,9,5780.92,12/10/2004,Classic Cars,147,Mini Gifts Distributors Ltd.,5677 Strong St.,,San Rafael,CA,97562,USA,NA
10156,35,65.63,4,2297.05,1/20/2005,Classic Cars,147,"Anna's Decorations, Ltd",201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC
10157,37,100,6,6231.54,2/17/2005,Classic Cars,147,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,CA,,USA,NA
10158,37,46.9,7,1735.3,3/9/2005,Classic Cars,147,"Anna's Decorations, Ltd",201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC
10159,27,100,2,4427.73,5/1/2005,Classic Cars,147,Quebec Home Shopping Network,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA
10160,38,100,12,5894.94,5/31/2005,Classic Cars,147,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
10161,33,100,6,5265.15,3/3/2003,Classic Cars,194,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan
10162,42,100,10,7599.9,5/8/2003,Classic Cars,194,Marseille Mini Autos,"12, rue des Bouchers",,Marseille,,13008,France,EMEA
10163,42,100,7,8008.56,7/2/2003,Classic Cars,194,Mini Gifts Distributors Ltd.,5677 Strong St.,,San Rafael,CA,97562,USA,NA
10164,48,100,7,9245.76,9/5/2003,Classic Cars,194,Collectables For Less Inc.,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA
10165,41,100,2,8296.35,10/10/2003,Classic Cars,194,Corporate Gift Ideas Co.,7734 Strong St.,,San Francisco,CA,,USA,NA
10166,30,100,2,5019.9,11/4/2003,Classic Cars,194,"Anna's Decorations, Ltd",201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC
10167,27,100,14,5411.07,11/12/2003,Classic Cars,194,Herkku Gifts,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA
10168,21,100,3,3840.9,11/20/2003,Classic Cars,194,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA
10169,20,100,8,3930.4,12/2/2003,Classic Cars,194,Euro Shopping Channel,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
10170,41,100,2,7498.9,1/15/2004,Classic Cars,194,Auto Canal Petit,"25, rue Lauriston",,Paris,,75016,France,EMEA
10171,27,100,9,4517.91,2/22/2004,Classic Cars,194,"Vida Sport, Ltd",Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA
10172,28,100,3,5774.72,4/9/2004,Classic Cars,194,Danish Wholesale Imports,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA
10173,24,100,13,3922.56,6/1/2004,Classic Cars,194,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA
10174,44,100,14,9160.36,7/6/2004,Classic Cars,194,L'ordine Souveniers,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA
10175,50,100,3,9631,8/2/2004,Classic Cars,194,Online Mini Collectables,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,NA
10176,21,100,12,3432.24,8/30/2004,Classic Cars,194,"Vida Sport, Ltd",Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA
10177,33,100,5,5521.89,10/4/2003,Classic Cars,194,"Blauer See Auto, Co.",Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA
10178,33,100,10,6934.62,10/16/2004,Classic Cars,194,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA
10179,31,100,3,6876.11,11/3/2004,Classic Cars,194,"Volvo Model Replicas, Co",Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA
10180,41,71.47,5,2930.27,11/15/2004,Classic Cars,194,Land of Toys Inc.,897 Long Airport Avenue,,NYC,NY,10022,USA,NA
10181,45,79.65,2,3584.25,11/24/2004,Classic Cars,194,Salzburg Collectables,Geislweg 14,,Salzburg,,5020,Austria,EMEA
10182,33,85.39,3,2817.87,1/6/2005,Classic Cars,194,Suominen Souveniers,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA
10183,45,76,7,3420,2/3/2005,Classic Cars,194,La Rochelle Gifts,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
10184,26,99.04,4,2575.04,3/3/2005,Classic Cars,194,Scandinavian Gift Ideas,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA
